times,arima_forecast_mean,ha_arima_forecast_upper95,ha_arima_forecast_lower95,ha_arima_forecast_upper80,ha_arima_forecast_lower_80,mydata.headache.test_start_index.test_end_index.
2014-08-23 03:46:00-07:00,0,3.098944415,-3.098944415,2.026290839,-2.026290839,0
2014-08-23 03:47:00-07:00,0,3.105762782,-3.105762782,2.03074913,-2.03074913,0
2014-08-23 03:48:00-07:00,0,3.112566214,-3.112566214,2.035197654,-2.035197654,0
2014-08-23 03:49:00-07:00,0,3.119354807,-3.119354807,2.039636477,-2.039636477,0
2014-08-23 03:50:00-07:00,0,3.126128658,-3.126128658,2.04406566,-2.04406566,0
2014-08-23 03:51:00-07:00,0,3.132887863,-3.132887863,2.048485267,-2.048485267,0
2014-08-23 03:52:00-07:00,0,3.139632516,-3.139632516,2.052895359,-2.052895359,0
2014-08-23 03:53:00-07:00,0,3.146362712,-3.146362712,2.057295997,-2.057295997,0
2014-08-23 03:54:00-07:00,0,3.153078542,-3.153078542,2.061687242,-2.061687242,0
2014-08-23 03:55:00-07:00,0,3.159780098,-3.159780098,2.066069154,-2.066069154,0
2014-08-23 03:56:00-07:00,0,3.16646747,-3.16646747,2.070441792,-2.070441792,0
2014-08-23 03:57:00-07:00,0,3.17314075,-3.17314075,2.074805215,-2.074805215,0
2014-08-23 03:58:00-07:00,0,3.179800024,-3.179800024,2.07915948,-2.07915948,0
2014-08-23 03:59:00-07:00,0,3.186445381,-3.186445381,2.083504646,-2.083504646,0
2014-08-23 04:00:00-07:00,0,3.193076909,-3.193076909,2.087840768,-2.087840768,0
2014-08-23 04:01:00-07:00,0,3.199694692,-3.199694692,2.092167904,-2.092167904,0
2014-08-23 04:02:00-07:00,0,3.206298816,-3.206298816,2.096486109,-2.096486109,0
2014-08-23 04:03:00-07:00,0,3.212889365,-3.212889365,2.100795437,-2.100795437,0
2014-08-23 04:04:00-07:00,0,3.219466423,-3.219466423,2.105095944,-2.105095944,0
2014-08-23 04:05:00-07:00,0,3.226030072,-3.226030072,2.109387683,-2.109387683,0
2014-08-23 04:06:00-07:00,0,3.232580393,-3.232580393,2.113670708,-2.113670708,0
2014-08-23 04:07:00-07:00,0,3.239117468,-3.239117468,2.117945072,-2.117945072,0
2014-08-23 04:08:00-07:00,0,3.245641377,-3.245641377,2.122210827,-2.122210827,0
2014-08-23 04:09:00-07:00,0,3.252152199,-3.252152199,2.126468024,-2.126468024,0
2014-08-23 04:10:00-07:00,0,3.258650012,-3.258650012,2.130716716,-2.130716716,0
2014-08-23 04:11:00-07:00,0,3.265134894,-3.265134894,2.134956952,-2.134956952,0
2014-08-23 04:12:00-07:00,0,3.271606922,-3.271606922,2.139188784,-2.139188784,0
2014-08-23 04:13:00-07:00,0,3.278066172,-3.278066172,2.143412261,-2.143412261,0
2014-08-23 04:14:00-07:00,0,3.284512719,-3.284512719,2.147627431,-2.147627431,0
2014-08-23 04:15:00-07:00,0,3.290946639,-3.290946639,2.151834345,-2.151834345,0
2014-08-23 04:16:00-07:00,0,3.297368004,-3.297368004,2.15603305,-2.15603305,0
2014-08-23 04:17:00-07:00,0,3.303776889,-3.303776889,2.160223595,-2.160223595,0
2014-08-23 04:18:00-07:00,0,3.310173365,-3.310173365,2.164406026,-2.164406026,0
2014-08-23 04:19:00-07:00,0,3.316557505,-3.316557505,2.16858039,-2.16858039,0
2014-08-23 04:20:00-07:00,0,3.322929379,-3.322929379,2.172746735,-2.172746735,0
2014-08-23 04:21:00-07:00,0,3.329289058,-3.329289058,2.176905106,-2.176905106,0
2014-08-23 04:22:00-07:00,0,3.335636612,-3.335636612,2.181055548,-2.181055548,0
2014-08-23 04:23:00-07:00,0,3.34197211,-3.34197211,2.185198108,-2.185198108,0
2014-08-23 04:24:00-07:00,0,3.34829562,-3.34829562,2.189332829,-2.189332829,0
2014-08-23 04:25:00-07:00,0,3.35460721,-3.35460721,2.193459756,-2.193459756,0
2014-08-23 04:26:00-07:00,0,3.360906948,-3.360906948,2.197578932,-2.197578932,0
2014-08-23 04:27:00-07:00,0,3.367194899,-3.367194899,2.201690403,-2.201690403,0
2014-08-23 04:28:00-07:00,0,3.37347113,-3.37347113,2.205794209,-2.205794209,0
2014-08-23 04:29:00-07:00,0,3.379735706,-3.379735706,2.209890395,-2.209890395,0
2014-08-23 04:30:00-07:00,0,3.385988691,-3.385988691,2.213979003,-2.213979003,0
2014-08-23 04:31:00-07:00,0,3.39223015,-3.39223015,2.218060073,-2.218060073,0
2014-08-23 04:32:00-07:00,0,3.398460146,-3.398460146,2.222133649,-2.222133649,0
2014-08-23 04:33:00-07:00,0,3.404678743,-3.404678743,2.226199771,-2.226199771,0
2014-08-23 04:34:00-07:00,0,3.410886002,-3.410886002,2.230258479,-2.230258479,0
2014-08-23 04:35:00-07:00,0,3.417081985,-3.417081985,2.234309815,-2.234309815,0
2014-08-23 04:36:00-07:00,0,3.423266754,-3.423266754,2.238353818,-2.238353818,0
2014-08-23 04:37:00-07:00,0,3.429440369,-3.429440369,2.242390528,-2.242390528,0
2014-08-23 04:38:00-07:00,0,3.43560289,-3.43560289,2.246419984,-2.246419984,0
2014-08-23 04:39:00-07:00,0,3.441754378,-3.441754378,2.250442225,-2.250442225,0
2014-08-23 04:40:00-07:00,0,3.44789489,-3.44789489,2.25445729,-2.25445729,0
2014-08-23 04:41:00-07:00,0,3.454024486,-3.454024486,2.258465218,-2.258465218,0
2014-08-23 04:42:00-07:00,0,3.460143223,-3.460143223,2.262466045,-2.262466045,0
2014-08-23 04:43:00-07:00,0,3.466251159,-3.466251159,2.26645981,-2.26645981,0
2014-08-23 04:44:00-07:00,0,3.472348352,-3.472348352,2.27044655,-2.27044655,0
2014-08-23 04:45:00-07:00,0,3.478434856,-3.478434856,2.274426301,-2.274426301,0
